"GPSC","logOR","lower","upper","carriage","disease","carriage_other","disease_other","pvalue","heterogeneity"
"13","0.8277","0.2624","2.611","46","32","1388","1049","0.75","0.1033"
"11","1.269","0.3247","4.956","18","13","1416","1068","0.73","0.1917"
"34","0.1676","0.06647","0.4225","50","5","1039","620","0.00015","1"
"14","1.106","0.7385","1.656","65","41","1024","584","0.62","1"
"90","0.4062","0.1361","1.213","17","4","1072","621","0.11","1"
"37","0.4969","0.2717","0.9088","48","14","1041","611","0.023","1"
"9","0.6252","0.3303","1.183","27","15","1407","1066","0.15","0.3215"
"56","7.086","1.992","25.21","3","12","1086","613","0.0025","1"
"21","0.3214","0.192","0.5379","92","18","997","607","1.6e-05","1"
"41","3.068","1.672","5.63","17","29","1072","596","0.00029","1"
"22","0.2914","0.1602","0.5298","74","13","1015","612","5.3e-05","1"
"38","1.022","0.4069","2.568","17","14","1417","1067","0.96","0.2399"
"52","0.2198","0.09333","0.5176","46","6","1043","619","0.00053","1"
"102","0.1011","0.01342","0.7612","17","1","1072","624","0.026","1"
"10","3.375","1.506","7.563","11","25","1423","1056","0.0031","0.2908"
"57","0.1353","0.02512","0.7285","14","1","1420","1080","0.02","0.5661"
"210","0.1576","0.008701","2.855","5","0","1084","625","0.21","1"
"54","1.017","0.3981","2.596","12","7","1077","618","0.97","1"
"160","0.8706","0.217","3.493","6","3","1083","622","0.84","1"
"17","1.674","1.132","2.475","56","52","1033","573","0.0098","1"
"5","0.8003","0.5364","1.194","72","41","1362","1040","0.28","0.7853"
"246","0.1332","0.007494","2.369","6","0","1083","625","0.17","1"
"133","0.1438","0.01866","1.109","12","1","1077","624","0.063","1"
"125","0.07497","0.00441","1.274","11","0","1078","625","0.073","1"
"25","0.4955","0.2514","0.9765","38","11","1051","614","0.042","1"
"159","0.1332","0.007494","2.369","6","0","1083","625","0.17","1"
"242","1.162","0.1937","6.974","3","2","1086","623","0.87","1"
"68","2.188","0.5852","8.176","4","5","1085","620","0.24","1"
"12","2.633","0.9618","7.209","5","17","340","439","0.06","1"
"77","1.31","0.4524","3.792","8","6","1081","619","0.62","1"
"48","0.6483","0.2994","1.404","24","9","1065","616","0.27","1"
"201","0.4347","0.04848","3.898","4","1","1085","624","0.46","1"
"93","0.6517","0.1723","2.466","8","3","1081","622","0.53","1"
"51","1.017","0.3981","2.596","12","7","1077","618","0.97","1"
"33","0.1434","0.05719","0.3593","58","5","1031","620","3.4e-05","1"
"169","1.162","0.1937","6.974","3","2","1086","623","0.87","1"
"67","7.941","1.71","36.87","2","9","1087","616","0.0082","1"
"81","0.1332","0.007494","2.369","6","0","1083","625","0.17","1"
"3","2.177","0.1632","29.04","33","56","1401","1025","0.56","1.3e-07"
"35","0.5175","0.1678","1.596","10","5","1424","1076","0.25","0.6696"
"1","2.311","1.322","4.039","43","97","1391","984","0.0033","0.1573"
"49","0.9758","0.3372","2.824","8","6","1426","1075","0.96","0.3681"
"8","14.28","3.272","62.31","2","16","1087","609","4e-04","1"
"45","0.1061","0.013","0.8666","7","1","338","455","0.036","1"
"4","1.317","0.8441","2.055","35","56","1399","1025","0.23","0.7198"
"2","28.81","10.42","79.66","4","60","1085","565","9.5e-11","1"
"126","0.08218","0.004808","1.405","10","0","1079","625","0.084","1"
"30","1.163","0.3268","4.136","6","4","1083","621","0.82","1"
"70","7.047","1.492","33.29","2","8","1087","617","0.014","1"
"24","2.9","0.1265","66.52","5","10","1429","1071","0.51","0.04385"
"61","0.5204","0.1427","1.898","10","3","1079","622","0.32","1"
"18","2.356","0.09103","60.95","7","17","1427","1064","0.61","0.001647"
"26","48.03","2.85","809.3","0","13","1089","612","0.0072","1"
"79","2.188","0.5852","8.176","4","5","1085","620","0.24","1"
"32","5.59","1.625","19.23","3","17","1431","1064","0.0063","0.8069"
"40","0.1154","0.006578","2.024","7","0","1082","625","0.14","1"
"179","0.1332","0.007494","2.369","6","0","1083","625","0.17","1"
"7","0.2156","0.06062","0.7668","39","8","1395","1073","0.018","0.1469"
"43","0.1923","0.02431","1.521","9","1","1080","624","0.12","1"
"114","0.7455","0.1921","2.893","7","3","1082","622","0.67","1"
"46","2.621","0.4368","15.73","2","3","1087","622","0.29","1"
"36","1.086","0.02307","51.11","22","10","1412","1071","0.97","0.001099"
"19","1.141","0.5718","2.278","14","21","331","435","0.71","1"
"6","1.417","0.5592","3.59","7","13","338","443","0.46","1"
"16","4.587","0.5496","38.28","1","6","344","450","0.16","1"
"59","0.2288","0.09037","0.5792","19","6","326","450","0.0019","1"
"15","7.116","3.506","14.44","9","73","336","383","5.5e-08","1"
"119","0.5022","0.08346","3.022","3","2","342","454","0.45","1"
"97","3.453","0.7413","16.08","2","9","343","447","0.11","1"
"132","0.3304","0.1009","1.082","9","4","336","452","0.067","1"
"27","2.547","1.139","5.698","8","26","337","430","0.023","1"
"135","0.9451","0.2519","3.546","4","5","341","451","0.93","1"
"29","0.1874","0.02085","1.684","4","1","341","455","0.13","1"
"89","0.2456","0.07851","0.7682","12","4","333","452","0.016","1"
"31","11.53","0.6562","202.6","0","7","345","449","0.095","1"
"111","0.1222","0.02718","0.5499","12","2","333","454","0.0062","1"
"50","3.814","0.4435","32.79","1","5","344","451","0.22","1"
"39","1.136","0.1887","6.835","2","3","343","453","0.89","1"
